Namn;Namn2;namn_en;Typ;Förekomst;Kostnad;Formfaktor;linjetyp;BTA;Anskaffning;Marknadsvärde;Rörligt marknadsvärde;Kvalitet;Hållbarhet;Tid;Riskbuffert;Antal krav;Nämndbeslut;LED;KOM;SAM;PRO;ABM;MARK;HUSUNDERBYGGNAD;STOMME;YTTERTAK;FASADER;STOMKOMPLETTERING;INV YTSKIKT;INSTALLATIONER;GEMENSAMMA ARBETEN;Energiklass;Skalfaktor;Driftnetto;intäkt/kvm nu;förslag intäkt;temp;temp2;@formbild;@titelbild;status fb;fill_color;line_color;ordning_bild;ordning_text
BRF Eldningen;Eldningen;fire, burning flames, ember glow;BRF;3;2;2;prickad;1000;33;40;D12;1;1;;;;1;;2;;1;1;;;;;;;;;;C;;;43;44;36;36;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Eldningen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Eldningen.png;temp;#1A4D24;#2D7A3A;1;3
BRF Gläntan;Gläntan;forest glade, clearing, sunlight through trees;BRF;3;4;2;prickad;1500;50;58;D10;1;1;;;;1;;2;1;;1;;;;;;;;;;C;;;40,66666667;44;36;54;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Gläntan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Gläntan.png;temp;#1A4D24;#2D7A3A;2;2
BRF Horisonten;Horisonten;wide horizon, distant skyline, open sky;BRF;3;5;2;prickad;2000;66;75;D6;1;1;;;;1;;2;;1;1;;;;;;;;;;C;;;39,5;44;36;72;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Horisonten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Horisonten.png;temp;#1A4D24;#2D7A3A;3;1
BRF Klinten;Klinten;rocky cliff, stone crag, rugged outcrop;BRF;2;5;4;prickad;1500;62;70;D10;2;1;;;3;1;;1;1;1;1;;;Betong etablerat;;;Standard lösningar;;;;C;;;50;53;45;68;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Klinten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Klinten.png;temp;#1A4D24;#2D7A3A;4;6
BRF Kornet;Kornet;wheat grain, harvest, golden sheaf;BRF;2;6;5;prickad;1750;79;90;D8;2;1;1;;4;1;;2;1;1;;;Standard betongkonstruktion;;Plåttak standard;;;Standardfinish;;Standardmiljö;C;;;53,14285714;57;49;86;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Kornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Kornet.png;temp;#1A4D24;#2D7A3A;5;5
BRF Solrosen;Solrosen;sunflower, radiant petals, golden bloom;BRF;2;4;3;prickad;1250;54;65;D10;3;1;;;4;1;1;2;;;1;;;Betong etablerat;;Tegelfasad;;;Standardsystem;;C;;;52,8;55;47;59;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Solrosen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Solrosen.png;temp;#1A4D24;#2D7A3A;6;4
BRF Speglingen;Speglingen;ornate hand mirror, decorative frame, reflected surface;BRF;1;3;4;prickad;1000;39;45;D12;2;1;;;2;1;;1;;2;1;;;;Tegeltak;;;;Avancerade system;;C;;;50;51;43;43;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Speglingen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Speglingen.png;temp;#1A4D24;#2D7A3A;7;9
BRF Stigen;Stigen;winding path, footsteps, journey trail;BRF;1;2;2;prickad;750;30;35;D12;2;1;;;3;1;;1;1;;2;;;;;Natursten;;;;Förbättrad miljö;C;;;52;51;43;32;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Stigen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Stigen.png;temp;#1A4D24;#2D7A3A;8;8
BRF Valvet;Valvet;stone arch, vault, curved archway;BRF;1;7;8;prickad;2000;103;120;D6;3;1;2;;5;4;1;2;;1;1;;;Prefab-element;;;Förstärkt ljudisolering;;Avancerade system;;C;;;59,5;64;56;112;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\BRF Valvet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Valvet.png;temp;#1A4D24;#2D7A3A;9;7
FÖRSKOLOR Draklyan;Draklyan;dragon, mythical creature, cave;FÖRSKOLOR;3;3;2;streckad;1000;45;68;D8;1;1;;;;1;1;1;;;2;;;;;;;;;;C;1;1;44;44;39;39;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Draklyan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Draklyan.png;temp;#0F3D5C;#1A6B9A;10;12
FÖRSKOLOR Kullerbyttan;Kullerbyttan;somersault, playful tumble, cartwheel;FÖRSKOLOR;3;4;2;streckad;1500;67;97;D8;1;1;;;;1;1;1;;;2;;;;;;;;;;D;0,95;1,5;42;44;39;58;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Kullerbyttan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Kullerbyttan.png;temp;#0F3D5C;#1A6B9A;11;11
FÖRSKOLOR Nyckelpigan;Nyckelpigan;ladybug, spotted beetle, leaf;FÖRSKOLOR;3;2;2;streckad;750;31;31;D12;1;1;;;;1;;1;;1;2;;;;;;;;;;E;0,9;0,5;45,33333333;44;36;27;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Nyckelpigan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Nyckelpigan.png;temp;#0F3D5C;#1A6B9A;12;10
FÖRSKOLOR Regnbågen;Regnbågen;rainbow, colorful arc, rain and sun;FÖRSKOLOR;2;7;6;streckad;2000;125;170;D10;1;2;1;1;5;3;1;1;1;;2;;Standard betongkonstruktion;;Plåttak standard;;Standard lösningar;;Standardsystem;Standardmiljö;C;1;2,5;57,5;61;54;109;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Regnbågen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Regnbågen.png;temp;#0F3D5C;#1A6B9A;13;15
FÖRSKOLOR Skattkistan;Skattkistan;treasure chest, gold coins, discovery;FÖRSKOLOR;2;4;3;streckad;1250;64;68;D12;1;2;;1;3;1;1;1;;1;1;;;;;Tegelfasad;;Standardfinish;;;C;1;1;50,4;53;45;56;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Skattkistan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Skattkistan.png;temp;#0F3D5C;#1A6B9A;14;14
FÖRSKOLOR Smultronstället;Smultronstället;Small strawberries;FÖRSKOLOR;2;6;5;streckad;1750;101;136;D12;1;2;1;1;4;1;1;1;1;;2;;Standard betongkonstruktion;;Plåttak standard;;Standard lösningar;;Standardsystem;;C;1;2;54,28571429;58;50;88;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Smultronstället.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Smultronstället.png;temp;#0F3D5C;#1A6B9A;15;13
FÖRSKOLOR Stjärnfröet;Stjärnfröet;star seed, sprouting cosmos, tiny star;FÖRSKOLOR;1;3;4;streckad;1000;53;65;D8;2;2;;1;1;1;1;2;;;1;;Förstärkt konstruktion;;;;;;;;D;0,95;1;51;51;46;46;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Stjärnfröet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Stjärnfröet.png;temp;#0F3D5C;#1A6B9A;16;18
FÖRSKOLOR Trollskogen;Trollskogen;enchanted forest, mushrooms, mystical trees;FÖRSKOLOR;1;4;5;streckad;1250;71;92;D8;2;2;1;1;2;1;;1;1;1;1;;;Prefab-element;;;;Kvalitetsfinish;;;E;0,9;1,5;53,6;55;50;62;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Trollskogen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Trollskogen.png;temp;#0F3D5C;#1A6B9A;17;17
