Typ;Nr;Rubrik;Text;Påverkar;Effekt;@bildsida;@textsida;fill_color;line_color;ordning_bild;ordning_text
Politik ;PS1;Korruptionsskandal;En omfattande korruptionsskandal skakar om hela byggbranschen. Media och myndigheter granskar alla aktiva projekt.;ALLA SPELARE;Alla spelare måste lämna tillbaka sitt dyraste projekt (högst fast intäkt). Vid flera spelare:  Den som har lägsta summan av K+Q-kraven måste dessutom lämna tillbaka ett projekt till.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;1;4
Politik ;PS2;Mediestorm;Nationella medier uppmärksammar projektet negativt. Andra aktörer i regionen påverkas av ryktesspridning.;DIG + SPELAREN MED FLEST RISKBUFFERTAR;Öka kvalitetskravet med 2. Vid flera spelare: Spelaren med flest riskbuffertar får +1 kvalitetskrav ytterligare;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;2;3
Politik ;PS3;Systemkollaps;Kommunens IT-system kraschar helt. Alla handläggningsprocesser stannar upp medan system återställs.;ALLA SPELARE;Alla spelare ökar hållbarhetskravet med 2. Vid flera spelare: Den som har minst riskbuffertar ökar med ytterligare 1.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;3;2
Politik ;PS4;Politisk Vendetta;En inflytelserik politiker utvecklar personlig aversion mot ledande aktörer. Maktmissbruk sker öppet.;SPELAREN MED LÄGSTA KRAVSUMMA;Spelaren med lägst summa av K+Q-krav måste välja: ANTINGEN lämna tillbaka 2 projekt, ELLER öka kraven med 3 totalt.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;4;1
Politik ;PS5;Katastrofscenario;Extremväder, infrastrukturhaveri och politisk kris inträffar samtidigt. Bara de starkaste projekten överlever.;ALLA SPELARE;Alla spelare med mer än 13 i summa av K+Q-krav  måste lämna tillbaka 1 projekt (eget val). Övriga får  +1 riskbuffert.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;5;8
Politik ;PS6;;;ALLA SPELARE;;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;6;7
Dialog;DS1;Genombrottsmöte;Ett historiskt möte där alla parter når total överenskommelse. Genombrott i förståelse leder till revolutionerande samarbete.;DIG + SPELAREN MED HÖGST KRAVSUMMA;Sänk kraven valfritt med 2. Vid flera spelare: Spelaren med högst summa av K+Q-krav  för sänka ytterligare 1. Ni båda får +1 riskbuffert.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;7;6
Dialog;DS2;Dream Team-bildning;"Perfekt kemi uppstår mellan nyckelaktörer. Ett ""dream team"" bildas som inspirerar hela regionen till excellens.";ALLA SPELARE;Alla spelare får +2 riskbuffertar. Vid flera spelare: Spelaren med färst riskbuffertar får ta projekt från valfri hög.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;8;5
Dialog;DS3;Visionär Ledning;Inspirerande ledarskap skapar vågor av optimism och innovation. Andra projekt drar nytta av den positiva andan.;DIG + SPELAREN MED LÄGSTA KRAVSUMMA;Du får dra en markanvisning eller ta ett projekt från valfri hög. Vid flera spelare:  Spelaren med högst summa av K+Q-krav för sänka dem med totalt 2.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;9;12
Dialog;DS4;Innovationssprång;Banbrytande teknisk eller social innovation revolutionerar hela byggprocessen. Nya möjligheter öppnas för alla.;ALLA SPELARE;Alla spelare för sänka valfritt krav med 1. Vid flera spelare: Den som har flest projekt får dessutom +2 riskbuffert.;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;10;11
Dialog;DS5;Perfekt Storm av Möjligheter;Allt faller på plats samtidigt: finansiering, politik, teknik och opinion. En perfekt storm av gynnsamma omständigheter.;SPELAREN MED HÖGST KRAVSUMMA;Spelaren med högst summa av K+Q-krav för välja ANTINGEN: Sänk kraven med totalt 2,få +2 riskbuffertar, dra 1 markanvisning eller ta 1 projekt från valfri hög;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;11;10
Dialog;DS6;;;;;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;12;9
