Namn;@formbild;@bildsida;Antal rutor;fill_color;line_color;skede_color;bakskede;kvm BYA;bakgrund_color
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_01_2rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;2;#7A4F20;#DDA063;#DDA063;#FAF1E8;500;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_02_3rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;3;#7A4F20;#DDA063;#DDA063;#FAF1E8;750;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_03_3rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;3;#7A4F20;#DDA063;#DDA063;#FAF1E8;750;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_04_4rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;4;#7A4F20;#DDA063;#DDA063;#FAF1E8;1000;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_05_4rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;4;#7A4F20;#DDA063;#DDA063;#FAF1E8;1000;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_06_5rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;5;#7A4F20;#DDA063;#DDA063;#FAF1E8;1250;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_07_2rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;2;#7A4F20;#DDA063;#DDA063;#FAF1E8;500;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_08_3rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;3;#7A4F20;#DDA063;#DDA063;#FAF1E8;750;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_09_3rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;3;#7A4F20;#DDA063;#DDA063;#FAF1E8;750;#FCF6EF;
MARKEXPANSION;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Markexpansion_10_4rutor.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Markexpansion.png;4;#7A4F20;#DDA063;#DDA063;#FAF1E8;1000;#FCF6EF;
