Typ;Nr;Namn;Tröskel_1_8;Tröskel_9_15;Tröskel_16_21;Tröskel_22_plus;fill_color;line_color;@bild;ordning_bild;ordning_text
T;G_T1;Förseningsrelaterade garantikrav;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;1;4
T;G_T2;Skador från forcerat arbete;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;2;3
T;G_T3;Bristande dokumentation pga tidspress;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;3;2
T;G_T4;Ofullständig injustering;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;4;1
T;G_T5;Eftersatt kontroll av arbeten;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;5;8
T;G_T6;Leveransförseningar skapar felmontage;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;6;7
T;G_T7;Bristande samordning mot slutet;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;7;6
T;G_T8;Slarv vid slutbesiktning;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;8;5
T;G_T9;Otillräcklig provning;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;9;12
T;G_T10;Garantikrav från forcerade moment;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;10;11
T;G_T_K;KATASTROFALT: Systematiska fel kräver totalrenovering;-15 Mkr;-10 Mkr;-6 Mkr;-3 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;11;10
Q;G_Q1;Ytskiktsreklamation;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;12;9
Q;G_Q2;Fönster och dörrar - justeringsbehov;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;13;16
Q;G_Q3;Golvproblem efter inflyttning;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;14;15
Q;G_Q4;Fukt i våtrum;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;15;14
Q;G_Q5;Sprickor i väggar;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;16;13
Q;G_Q6;Läckage vid infästningar;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;17;20
