Typ;Nr;Namn;Energiklass_projekt;Tröskel_1_8;Tröskel_9_15;Tröskel_16_21;Tröskel_22_plus;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
TID;T1;Förseningsavdrag i entreprenadavtalet;0;-18 Mkr, -2 Q;-10 Mkr, -1 Q;-4 Mkr, -1 Q;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;1;4;#91B542;#EEF4E3;#FCF6EF
TID;T2;Förlängd etablering med extra hyror;0;-15 Mkr, -2 Q, -1 H;-8 Mkr, -1 Q;-4 Mkr, -1 Q;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;2;3;#91B542;#EEF4E3;#FCF6EF
TID;T3;Vinterarbete med tält och värme;0;-20 Mkr, -1 Q, -1 H;-12 Mkr, -1 H;-5 Mkr, -1 H;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;3;2;#91B542;#EEF4E3;#FCF6EF
TID;T4;Beställarens skadeståndskrav för sen leverans;0;-18 Mkr, -2 Q;-10 Mkr, -1 Q;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;4;1;#91B542;#EEF4E3;#FCF6EF
TID;T5;Parallella arbeten skapar kaos;0;-14 Mkr, -2 Q, -1 H;-8 Mkr, -1 Q;-3 Mkr, -1 Q;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;5;8;#91B542;#EEF4E3;#FCF6EF
TID;T6;Övertid och helgarbete kostar mer;0;-16 Mkr, -1 H;-10 Mkr, -1 H;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;6;7;#91B542;#EEF4E3;#FCF6EF
TID;T7;Tillfälliga installationer behövs längre;0;-12 Mkr, -2 H;-6 Mkr, -1 H;-3 Mkr, -1 H;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;7;6;#91B542;#EEF4E3;#FCF6EF
TID;T8;Försenad inflyttning ger badwill;0;-15 Mkr, -1 Q;-8 Mkr, -1 Q;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;8;5;#91B542;#EEF4E3;#FCF6EF
TID;T9;Underentreprenörer höjer pris;0;-18 Mkr, -1 Q, -1 H;-10 Mkr, -1 Q;-4 Mkr, -1 Q;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;9;12;#91B542;#EEF4E3;#FCF6EF
TID;T10;Försenad slutbesiktning skapar omtag;0;-14 Mkr, -2 Q, -2 H;-8 Mkr, -1 Q, -1 H;-3 Mkr, -1 Q;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Tid.png;10;11;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q1;Besiktningsanmärkningar på målning och fog;0;-18 Mkr, -2 Q;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;11;10;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q2;Tätskikt i badrum underkänns;0;-15 Mkr, -2 Q;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;12;9;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q3;Golvavvikelser kräver omläggning;1;-20 Mkr, -2 Q, -1 H;-12 Mkr;-5 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;13;16;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q4;Dörrar och fönster justeras om;0;-16 Mkr, -2 Q;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;14;15;#91B542;#EEF4E3;#FCF6EF
