ID;Typ;Händelsetyp;Rubrik;Effekt_Mkr;Mildring_roll;Mildring_spec;Mildring_effekt_Mkr;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
HR-01;HYRESRÄTT;Hyresgäst;Hyresgäst orsakar vattenskada;-0,5;Fastighetschef;Bostäder;0;Diskmaskin läcker och skadar golv och underliggande lägenhet;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
HR-02;HYRESRÄTT;Tekniska installationer;Akut vattenläcka i stamledning;-0,5;Fastighetsskötare;Teknisk;0;Koppling i stigarledning brister. Vatten rinner ner genom fem våningsplan;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;2;3;#EF5656;#FDE6E6;#FCF6EF
HR-03;HYRESRÄTT;Hyresgäst;Hyresgäst betalar inte hyran;-1;Fastighetschef;Bostäder;-0,5;Tre månaders utebliven hyra. Socialtjänsten kopplats in;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;3;2;#EF5656;#FDE6E6;#FCF6EF
HR-04;HYRESRÄTT;Drift och underhåll;Stambyte krävs;-2;;;;Avloppsstammarna i äldsta huset är uttjänta. Stambyte i 40 lägenheter;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;4;1;#EF5656;#FDE6E6;#FCF6EF
HR-05;HYRESRÄTT;Byggnad;Mögelskada i badrum;-0,5;Fastighetschef;Bostäder;0;Fukt bakom kakel har orsakat mögel. Sanering och ny tätskiktning krävs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;5;8;#EF5656;#FDE6E6;#FCF6EF
HR-06;HYRESRÄTT;Säkerhet;Inbrott i källarförråd;-0,5;;;;Flera källarförråd har brutits upp. Lås och belysning behöver uppgraderas;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;6;7;#EF5656;#FDE6E6;#FCF6EF
HR-07;HYRESRÄTT;Byggnad;Balkongräcke löst monterat;-0,5;Fastighetsskötare;Teknisk;0;Räcke på plan 8 sitter löst. Akut åtgärd med tillfällig avstängning;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;7;6;#EF5656;#FDE6E6;#FCF6EF
HR-08;HYRESRÄTT;Tekniska installationer;Hiss fastnar mellan våningar;-0,5;Fastighetschef;Bostäder;0;Hissen stannar med boende inlåsta. Jourutryckning och reparation;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;8;5;#EF5656;#FDE6E6;#FCF6EF
HR-09;HYRESRÄTT;Tekniska installationer;Avloppsstopp i källare;-0,5;Fastighetsskötare;Teknisk;0;Rotinträngning i grundavloppet. Spolbil och filmning krävs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;9;12;#EF5656;#FDE6E6;#FCF6EF
HR-10;HYRESRÄTT;Tekniska installationer;El-fel i centralsäkring;-0,5;Fastighetsskötare;Bostäder;0;Jordfelsbrytare löser ut upprepade gånger. Eltekniker behövs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;10;11;#EF5656;#FDE6E6;#FCF6EF
