ID;Rubrik;Effekt_typ;Effekt_Mkr;Påverkar;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
OM-01;Inflationsimpuls från byggmaterial;kostnad_alla;-0,5;Alla;Stålpriser och isoleringsmaterial stiger kraftigt. Alla driftskostnader påverkas.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#EF5656;#FDE6E6;#FCF6EF
OM-02;Energikris efter gasavstängning;kostnad_per_ek;-1;Energiklass D+E+F;Europas gasförsörjning hotas. Fastigheter med dålig energiklass drabbas hårdast.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;2;3;#EF5656;#FDE6E6;#FCF6EF
OM-03;Stark arbetsmarknad i regionen;intäkt_alla;0,5;Alla;Nyetableringar ger fler arbetstillfällen. Efterfrågan på bostäder och kontor ökar.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;3;2;#EF5656;#FDE6E6;#FCF6EF
OM-04;Lågkonjunktur i detaljhandeln;kostnad_kommersiellt;-0,5;Kontor och lokaler;E-handel slår ut butiker. Kommersiella lokaler tappar hyresgäster.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;4;1;#EF5656;#FDE6E6;#FCF6EF
OM-05;Ränteuppgång från Riksbanken;kostnad_alla;-0,5;Alla;Styrräntan höjs oväntat. Finansieringskostnader ökar för alla.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;5;8;#EF5656;#FDE6E6;#FCF6EF
OM-06;Statligt energiomställningsbidrag;energi_höjning_val;-3;Vald fastighet;Regeringen lanserar stödpaket för fastighetsägare som energirenoverar. Du får välja en fastighet i din portfölj och betala 3 Mkr för att höja dess energiklass ett steg. Du kan välja att avstå.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;6;7;#EF5656;#FDE6E6;#FCF6EF
OM-07;Fastighetsskatt justeras;kostnad_per_ek;-0,5;Energiklass D+E+F;Kommunala avgifter och fastighetsskatt höjs. Energiineffektiva fastigheter drabbas hårdast.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;7;6;#EF5656;#FDE6E6;#FCF6EF
OM-08;Marknaden vänder uppåt;intäkt_per_ek;1;Energiklass A+B;Positiva konjunktursignaler. Fastigheter med bra energiklass premieras tydligast.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;8;5;#EF5656;#FDE6E6;#FCF6EF
OM-09;Pandemieffekt på kontor;kostnad_kon;-0,5;Kontor;Distansarbete minskar behov av kontorsyta. Vakanser stiger.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;9;12;#EF5656;#FDE6E6;#FCF6EF
OM-10;Ny fastighet på marknaden;auktion;;Alla;En ny fastighet kommer ut på marknaden. Ta det översta projektkortet och starta auktion.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;10;11;#EF5656;#FDE6E6;#FCF6EF
