Titel;Händelse;Ändring;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
YIELD - BOSTÄDER;Riksbanken sänker räntan;-1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;1;4;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Bostadsbrist i kommunen ökar;-1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;2;3;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Bostadspriser stabiliseras;0,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;3;2;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Hyresnivåer justeras uppåt;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;4;1;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Nyproduktion minskar;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;5;8;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Ränteuppgång pressar marknaden;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;6;7;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Konjunkturnedgång;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;7;6;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Stark efterfrågan på hyresrätter;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;8;5;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Kommunen expanderar;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;9;12;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Infrastruktursatsning i närheten;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;10;11;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Stabilt bostadsläge;0,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;11;10;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Stigande materialkostnader;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;12;9;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Investerarflykt från bostäder;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;13;16;#EF5656;#FDE6E6;#FCF6EF
