ID;Typ;Rubrik;Effekt_Mkr;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
DD-01;Kostnad;Dolda fuktskador i bjälklag;-1;Fukt har trängt in via otäta genomföringar och skadat bärande konstruktion.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-02;Kostnad;Underdimensionerad ventilation;-2;Ventilationsanläggningen klarar inte aktuella krav och måste byggas om.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-03;Kostnad;Förorenad mark upptäcks;-3;Miljöprov visar oljeförorening i marken under fastigheten. Sanering krävs.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-04;Kostnad;Asbest i isolering;-1;Asbest påträffas i isoleringsmaterial vid sanering.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-05;Intäkt;Storkund tecknar femårsavtal;+2;Stabil hyresgäst har precis tecknat ett femårigt hyresavtal med indexering.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#5CC07A;#E5F4E9;#FCF6EF
DD-06;Intäkt;Outhyrd lokal blir uthyrd;+1;Tidigare vakant lokal får ny hyresgäst inom kort.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#5CC07A;#E5F4E9;#FCF6EF
DD-07;Intäkt;Underhållet är välskött;+0,5;Säljarens underhållsplan har följts noga. Lägre underhållskostnader än väntat.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#5CC07A;#E5F4E9;#FCF6EF
DD-08;Kostnad;Tak måste läggas om;-2;Yttertak har nått slutet av sin livslängd och måste bytas inom kort.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-09;Intäkt;Outnyttjad byggrätt på fastigheten;+1;Detaljplan medger ytterligare BTA som kan exploateras eller säljas vidare.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#5CC07A;#E5F4E9;#FCF6EF
DD-10;Kostnad;Föråldrade hyresavtal;-1;Många hyresavtal ligger under marknadsnivå utan indexering.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
