ID;Rubrik;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
FCHK-01;Energimässa;Din fastighetschef tog sig äntligen tid till fortbildning kring energi. Spela detta istället för att slå för energiuppgradering och lyckas per automatik;#9E968E;#605951;;1;4;#EF5656;#FDE6E6;#FCF6EF
FCHK-02;;;#9E968E;#605951;;2;3;#EF5656;#FDE6E6;#FCF6EF
FCHK-03;;;#9E968E;#605951;;3;2;#EF5656;#FDE6E6;#FCF6EF
FCHK-04;;;#9E968E;#605951;;4;1;#EF5656;#FDE6E6;#FCF6EF
FCHK-05;;;#9E968E;#605951;;5;8;#EF5656;#FDE6E6;#FCF6EF
FCHK-06;;;#9E968E;#605951;;6;7;#EF5656;#FDE6E6;#FCF6EF
FCHK-07;;;#9E968E;#605951;;7;6;#EF5656;#FDE6E6;#FCF6EF
FCHK-08;;;#9E968E;#605951;;8;5;#EF5656;#FDE6E6;#FCF6EF
FCHK-09;;;#9E968E;#605951;;9;12;#EF5656;#FDE6E6;#FCF6EF
FCHK-10;;;#9E968E;#605951;;10;11;#EF5656;#FDE6E6;#FCF6EF
FCHK-11;;;#9E968E;#605951;;11;10;#EF5656;#FDE6E6;#FCF6EF
FCHK-12;;;#9E968E;#605951;;12;9;#EF5656;#FDE6E6;#FCF6EF
FCHK-13;;;#9E968E;#605951;;13;16;#EF5656;#FDE6E6;#FCF6EF
FCHK-14;;;#9E968E;#605951;;14;15;#EF5656;#FDE6E6;#FCF6EF
FCHK-15;;;#9E968E;#605951;;15;14;#EF5656;#FDE6E6;#FCF6EF
FCHK-16;;;#9E968E;#605951;;16;13;#EF5656;#FDE6E6;#FCF6EF
FCHK-17;;;#9E968E;#605951;;17;20;#EF5656;#FDE6E6;#FCF6EF
FCHK-18;;;#9E968E;#605951;;18;19;#EF5656;#FDE6E6;#FCF6EF
FCHK-19;;;#9E968E;#605951;;19;18;#EF5656;#FDE6E6;#FCF6EF
FCHK-20;;;#9E968E;#605951;;20;17;#EF5656;#FDE6E6;#FCF6EF
FCHK-21;;;#9E968E;#605951;;21;24;#EF5656;#FDE6E6;#FCF6EF
FCHK-22;;;#9E968E;#605951;;22;23;#EF5656;#FDE6E6;#FCF6EF
FCHK-23;;;#9E968E;#605951;;23;22;#EF5656;#FDE6E6;#FCF6EF
FCHK-24;;;#9E968E;#605951;;24;21;#EF5656;#FDE6E6;#FCF6EF
FCHK-25;;;#9E968E;#605951;;25;28;#EF5656;#FDE6E6;#FCF6EF
FCHK-26;;;#9E968E;#605951;;26;27;#EF5656;#FDE6E6;#FCF6EF
FCHK-27;;;#9E968E;#605951;;27;26;#EF5656;#FDE6E6;#FCF6EF
FCHK-28;;;#9E968E;#605951;;28;25;#EF5656;#FDE6E6;#FCF6EF
FCHK-29;;;#9E968E;#605951;;29;32;#EF5656;#FDE6E6;#FCF6EF
FCHK-30;;;#9E968E;#605951;;30;31;#EF5656;#FDE6E6;#FCF6EF
FCHK-31;;;#9E968E;#605951;;31;30;#EF5656;#FDE6E6;#FCF6EF
FCHK-32;;;#9E968E;#605951;;32;29;#EF5656;#FDE6E6;#FCF6EF
FCHK-33;;;#9E968E;#605951;;33;36;#EF5656;#FDE6E6;#FCF6EF
FCHK-34;;;#9E968E;#605951;;34;35;#EF5656;#FDE6E6;#FCF6EF
FCHK-35;;;#9E968E;#605951;;35;34;#EF5656;#FDE6E6;#FCF6EF
FCHK-36;;;#9E968E;#605951;;36;33;#EF5656;#FDE6E6;#FCF6EF
FCHK-37;;;#9E968E;#605951;;37;40;#EF5656;#FDE6E6;#FCF6EF
FCHK-38;;;#9E968E;#605951;;38;39;#EF5656;#FDE6E6;#FCF6EF
FCHK-39;;;#9E968E;#605951;;39;38;#EF5656;#FDE6E6;#FCF6EF
FCHK-40;;;#9E968E;#605951;;40;37;#EF5656;#FDE6E6;#FCF6EF
FCHK-41;;;#9E968E;#605951;;41;44;#EF5656;#FDE6E6;#FCF6EF
FCHK-42;;;#9E968E;#605951;;42;43;#EF5656;#FDE6E6;#FCF6EF
FCHK-43;;;#9E968E;#605951;;43;42;#EF5656;#FDE6E6;#FCF6EF
FCHK-44;;;#9E968E;#605951;;44;41;#EF5656;#FDE6E6;#FCF6EF
FCHK-45;;;#9E968E;#605951;;45;48;#EF5656;#FDE6E6;#FCF6EF
FCHK-46;;;#9E968E;#605951;;46;47;#EF5656;#FDE6E6;#FCF6EF
FCHK-47;;;#9E968E;#605951;;47;46;#EF5656;#FDE6E6;#FCF6EF
FCHK-48;;;#9E968E;#605951;;48;45;#EF5656;#FDE6E6;#FCF6EF
FCHK-49;;;#9E968E;#605951;;49;52;#EF5656;#FDE6E6;#FCF6EF
FCHK-50;;;#9E968E;#605951;;50;51;#EF5656;#FDE6E6;#FCF6EF
FCHK-51;;;#9E968E;#605951;;51;50;#EF5656;#FDE6E6;#FCF6EF
FCHK-52;;;#9E968E;#605951;;52;49;#EF5656;#FDE6E6;#FCF6EF
FCHK-53;;;#9E968E;#605951;;53;56;#EF5656;#FDE6E6;#FCF6EF
FCHK-54;;;#9E968E;#605951;;54;55;#EF5656;#FDE6E6;#FCF6EF
FCHK-55;;;#9E968E;#605951;;55;54;#EF5656;#FDE6E6;#FCF6EF
FCHK-56;;;#9E968E;#605951;;56;53;#EF5656;#FDE6E6;#FCF6EF
FCHK-57;;;#9E968E;#605951;;57;60;#EF5656;#FDE6E6;#FCF6EF
FCHK-58;;;#9E968E;#605951;;58;59;#EF5656;#FDE6E6;#FCF6EF
FCHK-59;;;#9E968E;#605951;;59;58;#EF5656;#FDE6E6;#FCF6EF
FCHK-60;;;#9E968E;#605951;;60;57;#EF5656;#FDE6E6;#FCF6EF
FCHK-61;;;#9E968E;#605951;;61;64;#EF5656;#FDE6E6;#FCF6EF
FCHK-62;;;#9E968E;#605951;;62;63;#EF5656;#FDE6E6;#FCF6EF
FCHK-63;;;#9E968E;#605951;;63;62;#EF5656;#FDE6E6;#FCF6EF
FCHK-64;;;#9E968E;#605951;;64;61;#EF5656;#FDE6E6;#FCF6EF
FCHK-65;;;#9E968E;#605951;;65;68;#EF5656;#FDE6E6;#FCF6EF
FCHK-66;;;#9E968E;#605951;;66;67;#EF5656;#FDE6E6;#FCF6EF
FCHK-67;;;#9E968E;#605951;;67;66;#EF5656;#FDE6E6;#FCF6EF
FCHK-68;;;#9E968E;#605951;;68;65;#EF5656;#FDE6E6;#FCF6EF
FCHK-69;;;#9E968E;#605951;;69;72;#EF5656;#FDE6E6;#FCF6EF
FCHK-70;;;#9E968E;#605951;;70;71;#EF5656;#FDE6E6;#FCF6EF
FCHK-71;;;#9E968E;#605951;;71;70;#EF5656;#FDE6E6;#FCF6EF
FCHK-72;;;#9E968E;#605951;;72;69;#EF5656;#FDE6E6;#FCF6EF
FCHK-73;;;#9E968E;#605951;;73;76;#EF5656;#FDE6E6;#FCF6EF
FCHK-74;;;#9E968E;#605951;;74;75;#EF5656;#FDE6E6;#FCF6EF
FCHK-75;;;#9E968E;#605951;;75;74;#EF5656;#FDE6E6;#FCF6EF
FCHK-76;;;#9E968E;#605951;;76;73;#EF5656;#FDE6E6;#FCF6EF
FCHK-77;;;#9E968E;#605951;;77;80;#EF5656;#FDE6E6;#FCF6EF
FCHK-78;;;#9E968E;#605951;;78;79;#EF5656;#FDE6E6;#FCF6EF
FCHK-79;;;#9E968E;#605951;;79;78;#EF5656;#FDE6E6;#FCF6EF
FCHK-80;;;#9E968E;#605951;;80;77;#EF5656;#FDE6E6;#FCF6EF
