ID;Rubrik;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
FSHK-01;Känningar i branschen;Din fastighetsskötare har en bekant i barnens fotbollsklubb med känningar. Du får lägga på +2 på ett förhandlingsslag i efterhand;#9E968E;#605951;;1;4;#EF5656;#FDE6E6;#FCF6EF
FSHK-02;;;#9E968E;#605951;;2;3;#EF5656;#FDE6E6;#FCF6EF
FSHK-03;;;#9E968E;#605951;;3;2;#EF5656;#FDE6E6;#FCF6EF
FSHK-04;;;#9E968E;#605951;;4;1;#EF5656;#FDE6E6;#FCF6EF
FSHK-05;;;#9E968E;#605951;;5;8;#EF5656;#FDE6E6;#FCF6EF
FSHK-06;;;#9E968E;#605951;;6;7;#EF5656;#FDE6E6;#FCF6EF
FSHK-07;;;#9E968E;#605951;;7;6;#EF5656;#FDE6E6;#FCF6EF
FSHK-08;;;#9E968E;#605951;;8;5;#EF5656;#FDE6E6;#FCF6EF
FSHK-09;;;#9E968E;#605951;;9;12;#EF5656;#FDE6E6;#FCF6EF
FSHK-10;;;#9E968E;#605951;;10;11;#EF5656;#FDE6E6;#FCF6EF
FSHK-11;;;#9E968E;#605951;;11;10;#EF5656;#FDE6E6;#FCF6EF
FSHK-12;;;#9E968E;#605951;;12;9;#EF5656;#FDE6E6;#FCF6EF
FSHK-13;;;#9E968E;#605951;;13;16;#EF5656;#FDE6E6;#FCF6EF
FSHK-14;;;#9E968E;#605951;;14;15;#EF5656;#FDE6E6;#FCF6EF
FSHK-15;;;#9E968E;#605951;;15;14;#EF5656;#FDE6E6;#FCF6EF
FSHK-16;;;#9E968E;#605951;;16;13;#EF5656;#FDE6E6;#FCF6EF
FSHK-17;;;#9E968E;#605951;;17;20;#EF5656;#FDE6E6;#FCF6EF
FSHK-18;;;#9E968E;#605951;;18;19;#EF5656;#FDE6E6;#FCF6EF
FSHK-19;;;#9E968E;#605951;;19;18;#EF5656;#FDE6E6;#FCF6EF
FSHK-20;;;#9E968E;#605951;;20;17;#EF5656;#FDE6E6;#FCF6EF
FSHK-21;;;#9E968E;#605951;;21;24;#EF5656;#FDE6E6;#FCF6EF
FSHK-22;;;#9E968E;#605951;;22;23;#EF5656;#FDE6E6;#FCF6EF
FSHK-23;;;#9E968E;#605951;;23;22;#EF5656;#FDE6E6;#FCF6EF
FSHK-24;;;#9E968E;#605951;;24;21;#EF5656;#FDE6E6;#FCF6EF
FSHK-25;;;#9E968E;#605951;;25;28;#EF5656;#FDE6E6;#FCF6EF
FSHK-26;;;#9E968E;#605951;;26;27;#EF5656;#FDE6E6;#FCF6EF
FSHK-27;;;#9E968E;#605951;;27;26;#EF5656;#FDE6E6;#FCF6EF
FSHK-28;;;#9E968E;#605951;;28;25;#EF5656;#FDE6E6;#FCF6EF
FSHK-29;;;#9E968E;#605951;;29;32;#EF5656;#FDE6E6;#FCF6EF
FSHK-30;;;#9E968E;#605951;;30;31;#EF5656;#FDE6E6;#FCF6EF
FSHK-31;;;#9E968E;#605951;;31;30;#EF5656;#FDE6E6;#FCF6EF
FSHK-32;;;#9E968E;#605951;;32;29;#EF5656;#FDE6E6;#FCF6EF
FSHK-33;;;#9E968E;#605951;;33;36;#EF5656;#FDE6E6;#FCF6EF
FSHK-34;;;#9E968E;#605951;;34;35;#EF5656;#FDE6E6;#FCF6EF
FSHK-35;;;#9E968E;#605951;;35;34;#EF5656;#FDE6E6;#FCF6EF
FSHK-36;;;#9E968E;#605951;;36;33;#EF5656;#FDE6E6;#FCF6EF
FSHK-37;;;#9E968E;#605951;;37;40;#EF5656;#FDE6E6;#FCF6EF
FSHK-38;;;#9E968E;#605951;;38;39;#EF5656;#FDE6E6;#FCF6EF
FSHK-39;;;#9E968E;#605951;;39;38;#EF5656;#FDE6E6;#FCF6EF
FSHK-40;;;#9E968E;#605951;;40;37;#EF5656;#FDE6E6;#FCF6EF
FSHK-41;;;#9E968E;#605951;;41;44;#EF5656;#FDE6E6;#FCF6EF
FSHK-42;;;#9E968E;#605951;;42;43;#EF5656;#FDE6E6;#FCF6EF
FSHK-43;;;#9E968E;#605951;;43;42;#EF5656;#FDE6E6;#FCF6EF
FSHK-44;;;#9E968E;#605951;;44;41;#EF5656;#FDE6E6;#FCF6EF
FSHK-45;;;#9E968E;#605951;;45;48;#EF5656;#FDE6E6;#FCF6EF
FSHK-46;;;#9E968E;#605951;;46;47;#EF5656;#FDE6E6;#FCF6EF
FSHK-47;;;#9E968E;#605951;;47;46;#EF5656;#FDE6E6;#FCF6EF
FSHK-48;;;#9E968E;#605951;;48;45;#EF5656;#FDE6E6;#FCF6EF
FSHK-49;;;#9E968E;#605951;;49;52;#EF5656;#FDE6E6;#FCF6EF
FSHK-50;;;#9E968E;#605951;;50;51;#EF5656;#FDE6E6;#FCF6EF
FSHK-51;;;#9E968E;#605951;;51;50;#EF5656;#FDE6E6;#FCF6EF
FSHK-52;;;#9E968E;#605951;;52;49;#EF5656;#FDE6E6;#FCF6EF
FSHK-53;;;#9E968E;#605951;;53;56;#EF5656;#FDE6E6;#FCF6EF
FSHK-54;;;#9E968E;#605951;;54;55;#EF5656;#FDE6E6;#FCF6EF
FSHK-55;;;#9E968E;#605951;;55;54;#EF5656;#FDE6E6;#FCF6EF
FSHK-56;;;#9E968E;#605951;;56;53;#EF5656;#FDE6E6;#FCF6EF
FSHK-57;;;#9E968E;#605951;;57;60;#EF5656;#FDE6E6;#FCF6EF
FSHK-58;;;#9E968E;#605951;;58;59;#EF5656;#FDE6E6;#FCF6EF
FSHK-59;;;#9E968E;#605951;;59;58;#EF5656;#FDE6E6;#FCF6EF
FSHK-60;;;#9E968E;#605951;;60;57;#EF5656;#FDE6E6;#FCF6EF
FSHK-61;;;#9E968E;#605951;;61;64;#EF5656;#FDE6E6;#FCF6EF
FSHK-62;;;#9E968E;#605951;;62;63;#EF5656;#FDE6E6;#FCF6EF
FSHK-63;;;#9E968E;#605951;;63;62;#EF5656;#FDE6E6;#FCF6EF
FSHK-64;;;#9E968E;#605951;;64;61;#EF5656;#FDE6E6;#FCF6EF
FSHK-65;;;#9E968E;#605951;;65;68;#EF5656;#FDE6E6;#FCF6EF
FSHK-66;;;#9E968E;#605951;;66;67;#EF5656;#FDE6E6;#FCF6EF
FSHK-67;;;#9E968E;#605951;;67;66;#EF5656;#FDE6E6;#FCF6EF
FSHK-68;;;#9E968E;#605951;;68;65;#EF5656;#FDE6E6;#FCF6EF
FSHK-69;;;#9E968E;#605951;;69;72;#EF5656;#FDE6E6;#FCF6EF
FSHK-70;;;#9E968E;#605951;;70;71;#EF5656;#FDE6E6;#FCF6EF
FSHK-71;;;#9E968E;#605951;;71;70;#EF5656;#FDE6E6;#FCF6EF
FSHK-72;;;#9E968E;#605951;;72;69;#EF5656;#FDE6E6;#FCF6EF
FSHK-73;;;#9E968E;#605951;;73;76;#EF5656;#FDE6E6;#FCF6EF
FSHK-74;;;#9E968E;#605951;;74;75;#EF5656;#FDE6E6;#FCF6EF
FSHK-75;;;#9E968E;#605951;;75;74;#EF5656;#FDE6E6;#FCF6EF
FSHK-76;;;#9E968E;#605951;;76;73;#EF5656;#FDE6E6;#FCF6EF
FSHK-77;;;#9E968E;#605951;;77;80;#EF5656;#FDE6E6;#FCF6EF
FSHK-78;;;#9E968E;#605951;;78;79;#EF5656;#FDE6E6;#FCF6EF
FSHK-79;;;#9E968E;#605951;;79;78;#EF5656;#FDE6E6;#FCF6EF
FSHK-80;;;#9E968E;#605951;;80;77;#EF5656;#FDE6E6;#FCF6EF
