Namn;Namn2;namn_en;Typ;Förekomst;Kostnad;Formfaktor;linjetyp;BTA;Anskaffning;Marknadsvärde;Bas_DN;Lanebelopp;Rantekostnad_kvartal;Rörligt marknadsvärde;Kvalitet;Hållbarhet;Tid;Riskbuffert;Antal krav;Nämndbeslut;STA;KOM;SAM;NOG;INN;ABM;MARK;HUSUNDERBYGGNAD;STOMME;YTTERTAK;FASADER;STOMKOMPLETTERING;INV YTSKIKT;INSTALLATIONER;GEMENSAMMA ARBETEN;Energiklass;Skalfaktor;Driftnetto;intäkt/kvm nu;förslag intäkt;temp;temp2;@formbild;@titelbild;status fb;fill_color;line_color;ordning_bild;ordning_text;Beskrivning;skede_color;bakskede;bakgrund_color
BRF Eldningen;Eldningen;fire, burning flames, ember glow;BRF;3;2;2;prickad;1000;33;40;;;;Vid försäljning ökar intäkten med D12 Mkr;1;1;-;-;;1;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;C;;;43;44;36;36;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Eldningen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Eldningen.png;temp;#7a3835;#f6e2dd;1;3;Ett kompakt boende med glöd i! Perfekt för den som vill tända sin bostadskarriär utan att bränna plånboken.;#DDA063;#f6e2dd;#f6e2dd
BRF Gläntan;Gläntan;forest glade, clearing, sunlight through trees;BRF;3;4;2;prickad;1500;50;58;;;;Vid försäljning ökar intäkten med D10 Mkr;1;1;-;-;;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;C;;;40,66666667;44;36;54;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Gläntan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Gläntan.png;temp;#7a3835;#f6e2dd;2;2;"En ljus tillvaro i lagom format; här bor man bekvämt utan att krångla till det. Naturnära känsla till ett vänligt pris.";#DDA063;#f6e2dd;#f6e2dd
BRF Horisonten;Horisonten;wide horizon, distant skyline, open sky;BRF;3;5;2;prickad;2000;66;75;;;;Vid försäljning ökar intäkten med D6 Mkr;1;1;-;-;;1;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;C;;;39,5;44;36;72;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Horisonten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Horisonten.png;temp;#7a3835;#f6e2dd;3;1;"Generösa ytor med vid utsikt mot framtiden; här får du mycket kvadrat för pengarna. Ett projekt med breda vyer!";#DDA063;#f6e2dd;#f6e2dd
BRF Klinten;Klinten;rocky cliff, stone crag, rugged outcrop;BRF;2;5;4;prickad;1500;62;70;;;;Vid försäljning ökar intäkten med D10 Mkr;2;1;-;-;3;1;-;1;1;1;-;1;-;-;nivå 2;-;-;nivå 2;-;-;-;C;;;50;53;45;68;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Klinten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Klinten.png;temp;#7a3835;#f6e2dd;4;6;"Stadigt och välbyggt som klippan själv; här ställs det lite högre krav på kvaliteten. Mellanklassens finaste val.";#DDA063;#f6e2dd;#f6e2dd
BRF Kornet;Kornet;golden grain, wheat sheaf, harvest field;BRF;2;6;5;prickad;1750;79;90;;;;Vid försäljning ökar intäkten med D8 Mkr;2;1;1;-;4;1;-;2;1;1;-;-;-;nivå 2;-;nivå 2;-;-;nivå 2;-;nivå 2;C;;;53,14285714;57;49;86;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Kornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Kornet.png;temp;#7a3835;#f6e2dd;5;5;Ett rejält projekt som kräver både tålamod och kvalitetsmedvetenhet, men skörden blir riklig. Värt väntan!;#DDA063;#f6e2dd;#f6e2dd
BRF Solrosen;Solrosen;sunflower, golden petals, summer bloom;BRF;2;4;3;prickad;1250;54;65;;;;Vid försäljning ökar intäkten med D10 Mkr;3;1;-;-;4;1;1;2;-;-;-;1;-;-;nivå 2;-;nivå 3;-;-;nivå 2;-;C;;;52,8;55;47;59;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Solrosen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Solrosen.png;temp;#7a3835;#f6e2dd;6;4;"Liten men lyxig; här ska varje kvadratmeter stråla av toppkvalitet. Kräver finessen hos en mästare.";#DDA063;#f6e2dd;#f6e2dd
BRF Speglingen;Speglingen;reflection, mirror lake, still water;BRF;1;3;4;prickad;1000;39;45;;;;Vid försäljning ökar intäkten med D12 Mkr;2;1;-;-;2;1;-;1;-;2;-;1;-;-;-;nivå 3;-;-;-;nivå 3;-;C;;;50;51;43;43;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Speglingen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Speglingen.png;temp;#7a3835;#f6e2dd;7;9;"Kompakt och omsorgsfullt; en liten reflektion av det fina livet. Kvalitetskrav i fickvänligt format.";#DDA063;#f6e2dd;#f6e2dd
BRF Stigen;Stigen;forest path, winding trail, woodland walk;BRF;1;2;2;prickad;750;30;35;;;;Vid försäljning ökar intäkten med D12 Mkr;2;1;-;-;3;1;-;1;1;-;-;2;-;-;-;-;nivå 3;-;-;-;nivå 3;C;;;52;51;43;32;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Stigen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Stigen.png;temp;#7a3835;#f6e2dd;8;8;"Charmigt litet instegsprojekt för den modige; börja din resa här! Minst men inte sämst.";#DDA063;#f6e2dd;#f6e2dd
BRF Valvet;Valvet;stone vault, arched ceiling, ancient architecture;BRF;1;7;8;prickad;2000;103;120;;;;Vid försäljning ökar intäkten med D6 Mkr;3;1;2;-;5;4;1;2;-;1;-;1;-;-;nivå 3;-;-;nivå 3;-;nivå 3;-;C;;;59,5;64;56;112;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\BRF Valvet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\BRF Valvet.png;temp;#7a3835;#f6e2dd;9;7;"Magnifikt prestigeprojekt för den tålmodige kännaren; toppkvalitet i varje detalj. Priset? Lika imponerande som resultatet.";#DDA063;#f6e2dd;#f6e2dd
Förskolan Draklyan;Draklyan;dragon lair, cave, mythical den;FÖRSKOLA;3;3;2;prickad;1000;45;72;4;50;0;;1;1;-;-;;1;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;C;1;1;44;44;39;39;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Draklyan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Draklyan.png;temp;#3f4a1f;#e9ebd5;10;12;En mysig liten lya där små drakar kan växa och fräsa, enkel men effektiv. Eld i ugnen och hyra i kassan!;#DDA063;#e9ebd5;#e9ebd5
