ID;Typ;Händelsetyp;Rubrik;Effekt;Är_dolt;Är_varningskort;Är_energi_varning;Är_förköpsrätt;Är_stoppkort;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
HR-01;HYRESRÄTT;Hyresgäst;Vattenskada i lägenhet;minuskort;ja;nej;nej;nej;nej;En diskmaskin läcker och skadar golv och underliggande lägenhet.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
HR-02;HYRESRÄTT;Marknad;Höjd hyresnivå vid nyuthyrning;pluskort;ja;nej;nej;nej;nej;Marknadsläget tillåter en högre hyra när lägenheter blir lediga.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
HR-03;HYRESRÄTT;Hyresgäst;Kommunen tecknar blockuthyrning;pluskort;ja;nej;nej;nej;nej;En kommunal förvaltning hyr flera lägenheter på ett långt avtal.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
HR-04;HYRESRÄTT;Underhåll;Stammarna behöver spolas;varning;nej;ja;nej;nej;nej;Varningskort. När tre samlats på fastigheten måste underhåll genomföras.;#7A5A1F;#E0B856;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#E0B856;#FDE6E6;#FCF6EF
HR-05;HYRESRÄTT;Energi;Värmesystemet tappar verkningsgrad;energivarning;nej;ja;ja;nej;nej;Energivarning. Tre på samma fastighet sänker energiklassen ett steg.;#7A6E1F;#E0D656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#E0D656;#FDE6E6;#FCF6EF
HR-06;HYRESRÄTT;Marknad;Förköpsrätt på granntomtens hyresrätt;förköpsrätt;nej;nej;nej;ja;nej;Behåll på hand. Ger dig förstaval när en hyresrätt sätts till budgivning.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#5688E0;#FDE6E6;#FCF6EF
HR-07;HYRESRÄTT;Hyresgäst;Vakanser drar ut på tiden;minuskort;ja;nej;nej;nej;nej;Flera lägenheter står tomma längre än normalt.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
FS-01;FÖRSKOLA;Marknad;Kommunen förlänger hyresavtalet;pluskort;ja;nej;nej;nej;nej;Ett tryggt och långt avtal med indexering skrivs på. Stabil intäkt framåt.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
FS-02;FÖRSKOLA;Hyresgäst;Fler barn i området;pluskort;ja;nej;nej;nej;nej;Verksamheten utökas och behovet av platser växer.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
FS-03;FÖRSKOLA;Underhåll;Ventilationen i lekhallen ses över;varning;nej;ja;nej;nej;nej;Varningskort. Tre på fastigheten kräver en underhållsinsats.;#7A5A1F;#E0B856;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#E0B856;#FDE6E6;#FCF6EF
FS-04;FÖRSKOLA;Energi;Äldre paviljong drar mycket värme;energivarning;nej;ja;ja;nej;nej;Energivarning. Tre på samma fastighet sänker energiklassen ett steg.;#7A6E1F;#E0D656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#E0D656;#FDE6E6;#FCF6EF
FS-05;FÖRSKOLA;Marknad;Kommunal upphandling öppnar;förköpsrätt;nej;nej;nej;ja;nej;Behåll på hand. Ger dig förstaval när en förskola sätts till budgivning.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#5688E0;#FDE6E6;#FCF6EF
