ID;Rubrik;Effekt_typ;Effekt_Mkr;Påverkar;Yield_rörelse_typ;Yield_rörelse_värde;Swap_egenskap;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
OM-01;Sjunkande räntor lyfter bostadsmarknaden;yield;0;Bostäder;bostäder;-0,5;nej;Räntorna sjunker och investerare betalar mer för bostadshyresfastigheter. Yield bostäder -0,5%.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5688E0;#FDE6E6;#FCF6EF
OM-02;Konjunkturoro pressar kommersiell yield uppåt;yield;0;Kommersiellt;kommersiellt;+0,5;nej;Osäker konjunktur. Investerare kräver högre avkastning på kommersiella fastigheter. Yield kommersiellt +0,5%.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5688E0;#FDE6E6;#FCF6EF
OM-03;Allmän marknadsoro - alla yields stiger;yield;0;Alla;båda;+0,5;nej;Generell osäkerhet. Yield höjs +0,5% på både bostäder och kommersiellt.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5688E0;#FDE6E6;#FCF6EF
OM-04;Stark inflöde av kapital - alla yields sjunker;yield;0;Alla;båda;-0,5;nej;Internationella investerare strömmar till. Yield sjunker -0,5% på båda segmenten.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5688E0;#FDE6E6;#FCF6EF
OM-05;Inflationsimpuls från byggmaterial;kostnad_alla;-0,5;Alla;ingen;;nej;Stålpriser och isoleringsmaterial stiger. Driftkostnader på alla fastigheter ökar.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#EF5656;#FDE6E6;#FCF6EF
OM-06;Eltariffer höjs;kostnad_alla;-1;Alla;ingen;;nej;Elnätsbolagen höjer sina tariffer. -1 mkr på driftnetto för alla fastigheter detta kvartal.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#EF5656;#FDE6E6;#FCF6EF
OM-07;Riksbanken sänker styrräntan;intäkt_alla;+0,5;Alla;ingen;;nej;Lägre räntor stärker köpkraft och hyresmarknad. +0,5 mkr på driftnetto för alla fastigheter.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
OM-08;Bytesförslag mellan dotterbolag;swap;0;Spelare;ingen;;ja;Två spelare får erbjudande att byta en valfri fastighetsegenskap (energiklass, hyresgäst etc.).;#4D1F7A;#9056E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#9056E0;#FDE6E6;#FCF6EF
OM-09;Refinansieringsfönster;swap;0;Spelare;ingen;;ja;Spelare får byta lånevillkor mellan två fastigheter. Räntekostnad/kvartal följer med.;#4D1F7A;#9056E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#9056E0;#FDE6E6;#FCF6EF
OM-10;Stadsutvecklingsplan presenteras;mv_alla;+5;Alla;ingen;;nej;Kommunen presenterar offensiv stadsutvecklingsplan. +5 mkr marknadsvärde på alla fastigheter.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Omvärldskort Omvärld.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
